Id,Model,Price,Age_08_04,KM,Fuel_Type,HP,Met_Color,CC,Doors,Weight
3, TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13950,24,41711,Diesel,90,1,2000,3,1165
6,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,12950,32,61000,Diesel,90,0,2000,3,1170
8,TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,18600,30,75889,Diesel,90,1,2000,3,1245
17, TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22750,30,34000,Petrol,192,1,1800,3,1185
28,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15750,29,41415,Petrol,110,1,1600,3,1120
32,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,22,35199,Petrol,97,1,1400,3,1100
58,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15250,26,43000,Petrol,97,0,1400,5,1110
73, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,28817,Petrol,110,1,1598,5,1130
112,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31000,4,4000,Diesel,116,1,2000,5,1480
114, TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,13253,Diesel,116,1,2000,5,1320
119,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17900,7,1,Petrol,110,1,1600,3,1105
122,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,13,57037,Petrol,110,0,1600,5,1115
123, TOYOTA Corolla 2.0 D4D Linea Terra Comfort 4/5-Doors,19950,19,51099,Diesel,90,1,2000,5,1255
124, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16350,14,40010,Petrol,110,1,1600,5,1115
143, TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 4/5-Doors,23950,19,21684,Petrol,192,1,1800,5,1185
159,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18900,11,12500,Petrol,110,1,1600,5,1115
165,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 4/5-Doors,19500,14,6500,Petrol,110,1,1600,4,1100
170,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,20500,12,5000,Petrol,110,1,1600,5,1130
175, TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,18950,8,10000,Petrol,97,1,1400,5,1110
192,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,11950,40,161000,Diesel,69,1,1900,3,1105
200,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,42,105699,Petrol,97,1,1400,3,1025
213,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,40,80425,Diesel,90,1,2000,5,1205
217,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10950,33,77321,Petrol,110,1,1600,5,1075
223,TOYOTA Corolla 1.6 HB LINEA SOL 4/5-Doors,12450,44,74172,Petrol,110,1,1600,5,1615
229,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11690,34,65345,Petrol,97,1,1400,5,1060
242,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10950,38,58798,Petrol,110,1,1600,5,1075
245,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13500,33,57711,Diesel,90,1,2000,3,1165
252,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,33,55350,Petrol,110,0,1600,5,1075
257,TOYOTA Corolla 1.6-16v Linea Terra LB 4/5-Doors,12900,42,53350,Petrol,110,0,1600,5,1075
260,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,44,52000,Petrol,97,0,1400,3,1025
273,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,38,48197,Petrol,110,1,1600,5,1075
274,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,35,48052,Diesel,69,1,1900,3,1105
291,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,12950,43,43632,Petrol,110,1,1600,5,1075
292,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,36,43427,Petrol,110,1,1600,3,1040
299,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12850,40,41339,Petrol,110,1,1600,5,1080
310,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11450,37,68450,Petrol,97,0,1400,3,1025
315,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11650,39,37782,Petrol,97,1,1400,5,1060
317,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13950,41,37533,Petrol,110,1,1600,5,1075
321,TOYOTA Corolla 1.6 SDN LINEA TERRA 4/5-Doors,11950,44,37000,Petrol,110,0,1600,4,1075
328,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,42,33623,Petrol,97,1,1400,3,1025
341,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12750,43,30742,Petrol,110,1,1600,3,1040
348, TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,14950,41,28571,Petrol,110,0,1600,5,1090
355,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,38,26262,Petrol,110,1,1600,5,1075
371,TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 4/5-Doors,11450,37,21500,Petrol,110,1,1600,5,1030
376,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,13250,33,16512,Petrol,97,1,1400,5,1085
390,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9250,48,142130,CNG,110,0,1600,5,1119
